# position count sigma_count
1.125628140703517666e+01 1.397334630458783478e+00 3.563373200007751596e+00
1.135678391959799072e+01 6.516608259970370298e+00 3.086804885536730492e+00
1.145728643216080478e+01 6.393434403271312405e+00 2.695902759711597874e+00
1.155778894472361884e+01 5.199601203621225132e+00 2.383272690483857481e+00
1.165829145728643290e+01 5.153789645419818655e+00 2.139323006835521568e+00
1.175879396984924696e+01 1.361747069016639111e+00 1.953494954406531647e+00
1.185929648241206102e+01 9.472234645440336109e-02 1.815247158860414434e+00
1.195979899497487509e+01 2.635197446002434774e+00 1.714761534619726691e+00
1.206030150753768915e+01 3.145503470326760365e-02 1.643379945743495885e+00
1.216080402010050321e+01 -1.502959296297417868e+00 1.593809521434742749e+00
1.226130653266331727e+01 3.433342582402576504e+00 1.560149500449689919e+00
1.236180904522613133e+01 8.701217665544376256e-01 1.537795815894009488e+00
1.246231155778894539e+01 4.525584933391424869e+00 1.523274588994873335e+00
1.256281407035175945e+01 2.209079726274182143e+00 1.514045813962613840e+00
1.266331658291457352e+01 1.755754628423559449e+00 1.508306888838891080e+00
1.276381909547738758e+01 2.197478845815032056e+00 1.504814558649404832e+00
1.286432160804020164e+01 1.551182100771175687e+00 1.502734646282942510e+00
1.296482412060301570e+01 -1.051245864173045774e+00 1.501522202510133575e+00
1.306532663316582976e+01 1.775755390043071591e+00 1.500830367424504486e+00
1.316582914572864382e+01 2.433169679588411682e+00 1.500443909836566059e+00
1.326633165829145788e+01 1.475854612748972450e+00 1.500232565789130224e+00
1.336683417085427195e+01 1.362112446682023581e+00 1.500119405267562822e+00
1.346733668341708601e+01 6.106700949955707891e-01 1.500060079697638216e+00
1.356783919597990007e+01 5.447161240200613097e-01 1.500029625015497858e+00
1.366834170854271413e+01 -4.807384495288040682e-01 1.500014315813426702e+00
1.376884422110552819e+01 2.901359373666187125e+00 1.500006779537525148e+00
1.386934673366834225e+01 1.697298651633163624e+00 1.500003146376601704e+00
1.396984924623115631e+01 2.530950808700362931e+00 1.500001431027350396e+00
1.407035175879397038e+01 5.871588548529136364e-01 1.500000637840013695e+00
1.417085427135678444e+01 8.538965591734533067e-01 1.500000278613516702e+00
1.427135678391959850e+01 1.238689222464829154e+00 1.500000119266699183e+00
1.437185929648241256e+01 2.199663872273188492e+00 1.500000050033722276e+00
1.447236180904522662e+01 -3.838543261842988219e-01 1.500000020569939752e+00
1.457286432160804068e+01 1.926670479109811041e+00 1.500000008287619924e+00
1.467336683417085474e+01 3.217906176761272441e+00 1.500000003272300875e+00
1.477386934673366881e+01 -4.855753346784610347e-01 1.500000001266202698e+00
1.487437185929648287e+01 2.297605293800748072e+00 1.500000000480153250e+00
1.497487437185929693e+01 2.500130492566127405e+00 1.500000000178436155e+00
1.507537688442211099e+01 -1.257736767042158199e+00 1.500000000064984906e+00
1.517587939698492505e+01 1.563562301245777331e+00 1.500000000023193669e+00
1.527638190954773911e+01 4.875172883142999680e+00 1.500000000008112400e+00
1.537688442211055317e+01 1.121554844222424574e+00 1.500000000002780665e+00
1.547738693467336724e+01 1.262266018117625066e+00 1.500000000000934142e+00
1.557788944723618130e+01 3.508036415798739593e+00 1.500000000000307532e+00
1.567839195979899536e+01 1.265248699237346397e+00 1.500000000000099254e+00
1.577889447236180942e+01 1.365162790073571664e+00 1.500000000000031308e+00
1.587939698492462348e+01 2.142493687123883106e+00 1.500000000000009770e+00
1.597989949748743754e+01 8.958396341593299894e-01 1.500000000000002887e+00
1.608040201005025338e+01 5.729627514062756166e-01 1.500000000000000888e+00
1.618090452261306567e+01 -1.222479997439140043e+00 1.500000000000000222e+00
1.628140703517588150e+01 -1.728238136945905223e+00 1.500000000000000000e+00
1.638190954773869379e+01 2.086563930886949692e+00 1.500000000000000000e+00
1.648241206030150963e+01 1.748483557588151438e+00 1.500000000000000000e+00
1.658291457286432191e+01 2.932651046422078522e+00 1.500000000000000000e+00
1.668341708542713775e+01 -3.243575955981739867e+00 1.500000000000000000e+00
1.678391959798995003e+01 2.552893093835179261e+00 1.500000000000000000e+00
1.688442211055276587e+01 2.783433493195930808e+00 1.500000000000000000e+00
1.698492462311557816e+01 1.161936063865805169e+00 1.500000000000000000e+00
1.708542713567839400e+01 3.514777295065166562e+00 1.500000000000000000e+00
1.718592964824120628e+01 1.895261255476982987e+00 1.500000000000000000e+00
1.728643216080402212e+01 1.217513151509982405e+00 1.500000000000000000e+00
1.738693467336683440e+01 3.581905816895717409e-01 1.500000000000000000e+00
1.748743718592965024e+01 2.511078813641425711e+00 1.500000000000000000e+00
1.758793969849246253e+01 3.765263338178180819e-01 1.500000000000000000e+00
1.768844221105527836e+01 2.723218981203664235e+00 1.500000000000000000e+00
1.778894472361809065e+01 -1.191405316042735585e+00 1.500000000000000000e+00
1.788944723618090649e+01 4.600533972410024708e-01 1.500000000000000000e+00
1.798994974874371877e+01 3.185084365124800643e-01 1.500000000000000000e+00
1.809045226130653461e+01 4.888476868262457975e-01 1.500000000000000000e+00
1.819095477386934689e+01 -1.528527440787419422e+00 1.500000000000000000e+00
1.829145728643216273e+01 -4.578580044934625892e-01 1.500000000000000000e+00
1.839195979899497502e+01 6.932908578989790405e-01 1.500000000000000000e+00
1.849246231155779085e+01 2.279792923429718510e+00 1.500000000000000000e+00
1.859296482412060314e+01 4.268823758190487538e+00 1.500000000000000000e+00
1.869346733668341898e+01 9.524040539087937907e-01 1.500000000000000000e+00
1.879396984924623126e+01 1.753944017450393078e+00 1.500000000000000000e+00
1.889447236180904710e+01 4.338556698286030744e-01 1.500000000000000000e+00
1.899497487437185939e+01 1.878729195206925828e+00 1.500000000000000000e+00
1.909547738693467522e+01 -1.719602967361792523e+00 1.500000000000000000e+00
1.919597989949748751e+01 1.165133093307771928e+00 1.500000000000000000e+00
1.929648241206030335e+01 1.553924887279426459e-01 1.500000000000000000e+00
1.939698492462311563e+01 4.536443750952624754e+00 1.500000000000000000e+00
1.949748743718593147e+01 -3.058483585172235841e-01 1.500000000000000000e+00
1.959798994974874375e+01 -1.435552565487600907e+00 1.500000000000000000e+00
1.969849246231155959e+01 1.025704274360150769e-02 1.500000000000000000e+00
1.979899497487437188e+01 1.105854942120673146e-01 1.500000000000000000e+00
1.989949748743718771e+01 -5.039545038099809693e-01 1.500000000000000000e+00
2.000000000000000000e+01 8.117496164559138139e-01 1.500000000000000000e+00
